"id","region","category","name","phones","add_phone"
"407","Пушкинский","Судебные органы","Пушкинский районный суд города Санкт-Петербурга","+7(812)4516367",""
"408","Пушкинский","Судебные органы","Прокуратура Пушкинского района","+7(812)4768569",""
"409","Пушкинский","Здравоохранение","Территориальный фонд ОМС Санкт-Петербурга","+7(812)7037310",""
"410","Пушкинский","Здравоохранение","Справка о наличии лекарств в городе","+7(812)6355566",""
"411","Пушкинский","Здравоохранение","Горячая линия Комитета по здравоохранению (для взрослых)","+7(812)6355577",""
"412","Пушкинский","Здравоохранение","Горячая линия Комитета по здравоохранению (для детей)","+7(812)6707801",""
"413","Пушкинский","Здравоохранение","Единый номер виртуального контактного центра Пушкинского района","+7(812)2469916",""
"414","Пушкинский","Здравоохранение","Едина городская справочная служба","122",""
"415","Пушкинский","Здравоохранение","Городская справочная служба «Здоровье города» (многоканальный)","+7(812)6355563",""
"416","Пушкинский","Здравоохранение","Телефон претензий по работе городской скорой помощи","+7(812)5714504",""
"417","Пушкинский","Образование","Горячая линия Комитета по образованию","+7(812)2465548",""
"418","Пушкинский","Социальная защита населения","Информационно-справочная телефонная служба системы социальной защиты населения","+7(812)3344144",""
"419","Пушкинский","Социальная защита населения","Отдел социальной защиты населения администрации Пушкинского района","+7(812)2414328",""
"420","Пушкинский","Социальная защита населения","Региональный контакт-центр Социального фонда России","+7(800)1000001",""
"421","Пушкинский","Социальная защита населения","Справочная Социального фонда России (региональное отделение)","+7(812)6778717",""
"422","Пушкинский","Права потребителя","Юго-западный территориальный отдел управления Роспотребнадзора в Московском, Фрунзенском, Пушкинском, Колпинском, Кировском, Красносельском, Петродворцовом районах","+7(812)7277220",""
"423","Фрунзенский","Аварийно-диспетчерские службы","Дежурный помощник главы администрации","+7(812)7096170",""
"424","Фрунзенский","Аварийно-диспетчерские службы","Повреждения водопроводной уличной сети (холодная вода)","+7(812)3050909",""
"425","Фрунзенский","Аварийно-диспетчерские службы","Повреждения водопроводной уличной сети (горячая вода)","+7(812)3151313",""
"426","Фрунзенский","Аварийно-диспетчерские службы","Горячая линия ГУП «Водоканал Санкт-Петербурга»","+7(812)3050909",""
"427","Фрунзенский","Аварийно-диспетчерские службы","Горячая линия ГРО «ПетербургГаз»","+7(812)6100404",""
"428","Фрунзенский","Аварийно-диспетчерские службы","Горячая линия ГУП «ТЭК СПб»","+7(812)6019393",""
"429","Фрунзенский","Аварийно-диспетчерские службы","Работа общественного транспорта","+7(812)5765555",""
"430","Фрунзенский","Аварийно-диспетчерские службы","Центр по приёму обращений граждан по всем вопросам, связанным с качеством оказываемых услуг ЖКХ","004",""
"431","Фрунзенский","Правоохранительные органы","Телефон справочной ГУ МВД","+7(812)5732676",""
"432","Фрунзенский","Правоохранительные органы","Дежурная часть УМВД России по Фрунзенскому району","+7(812)7660202",""
"433","Фрунзенский","Правоохранительные органы","Дежурная часть ГИБДД","+7(812)2349021,+7(812)5736379",""
"434","Фрунзенский","Судебные органы","Санкт-Петербургский городской суд","+7(812)4595966",""
"435","Фрунзенский","Судебные органы","Прокуратура Фрунзенского района","+7(812)7088130",""
"436","Фрунзенский","Здравоохранение","Территориальный фонд ОМС Санкт-Петербурга","+7(812)7037301",""
"437","Фрунзенский","Здравоохранение","Контакт-центр","+7(800)7008603",""
"438","Фрунзенский","Здравоохранение","Справка о наличии лекарств в городе","+7(812)6355566",""
"439","Фрунзенский","Здравоохранение","Дежурная аптека","+7(812)3145401",""
"440","Фрунзенский","Здравоохранение","Горячая линия Комитета по здравоохранению","+7(812)6355577",""
"441","Фрунзенский","Здравоохранение","Телефон претензий по работе городской скорой помощи","+7(812)5714504",""
"442","Фрунзенский","Образование","Горячая линия Комитета по образованию","+7(812)5762019",""
"443","Фрунзенский","Социальная защита населения","Информационно-справочная телефонная служба социальной защиты населения","+7(812)3344144",""
"444","Фрунзенский","Социальная защита населения","Отдел социальной защиты населения Фрунзенского района","+7(812)4172801",""
"445","Фрунзенский","Социальная защита населения","Пенсионный фонд во Фрунзенском районе","+7(812)4900777",""
"446","Фрунзенский","Права потребителя","Территориальный отдел управления Роспотребнадзора в Московском, Фрунзенском, Пушкинском, Колпинском районах","+7(812)7277220",""
"447","Фрунзенский","Права потребителя","Городской отдел защиты прав потребителей","+7(812)5758110",""
"448","Центральный","Аварийно-диспетчерские службы","Дежурный помощник главы администрации","+7(812)2742310",""
"449","Центральный","Аварийно-диспетчерские службы","Повреждения водопроводной уличной сети (холодная вода)","+7(812)3050909",""
"450","Центральный","Аварийно-диспетчерские службы","Горячая линия ГУП «Водоканал Санкт-Петербурга»","+7(812)3050909",""
"451","Центральный","Аварийно-диспетчерские службы","Горячая линия ГРО «ПетербургГаз»","+7(812)6100404,04",""
"452","Центральный","Аварийно-диспетчерские службы","Диспетчерская служба АО «Теплосеть СПб»","+7(812)9018191",""
"453","Центральный","Аварийно-диспетчерские службы","Работа общественного транспорта","+7(812)5765555",""
"454","Центральный","Аварийно-диспетчерские службы","Центр по приёму обращений граждан по всем вопросам, связанным с качеством оказываемых услуг ЖКХ","004",""
"455","Центральный","Аварийно-диспетчерские службы","СПб ГКУ «Жилищное агентство Центрального района Санкт-Петербурга» (по вопросам ЖКХ)","+7(812)2721144",""
"456","Центральный","Правоохранительные органы","Телефон справочной ГУ МВД","+7(812)5732676",""
"457","Центральный","Правоохранительные органы","Телефон доверия ГУ МВД","+7(812)5732181",""
"458","Центральный","Правоохранительные органы","Дежурная часть УМВД России по Центральному району","+7(812)5734880",""
"459","Центральный","Правоохранительные органы","Телефон справочной ГИБДД","+7(812)5732764",""
"460","Центральный","Правоохранительные органы","Телефон по вопросам ДТП","+7(812)5732764",""
"461","Центральный","Судебные органы","Санкт-Петербургский городской суд","+7(812)4595966,+7(812)4595958,+7(812)4595954",""
"462","Центральный","Судебные органы","Прокуратура Санкт-Петербурга","+7(812)3182612",""
"463","Центральный","Судебные органы","Прокуратура Санкт-Петербурга (дежурный прокурор)","+7(812)3154853",""
"464","Центральный","Здравоохранение","Территориальный фонд ОМС Санкт-Петербурга","+7(812)7037301",""
"465","Центральный","Здравоохранение","Региональная линия социального страхования граждан г. Санкт-Петербурга и Ленинградской области","+7(812)6778717",""
"466","Центральный","Здравоохранение","Справка о наличии лекарств в городе","+7(812)2461111",""
"467","Центральный","Здравоохранение","Горячая линия Комитета по здравоохранению","+7(812)6355577",""
"468","Центральный","Образование","Горячая линия Комитета по образованию","+7(812)5762019",""
"469","Центральный","Социальная защита населения","Информационно-справочная телефонная служба Комитета по социальной политике Санкт-Петербурга","+7(812)3344144",""
"470","Центральный","Социальная защита населения","Отдел социальной защиты населения Центрального района","+7(812)4174884",""
"471","Центральный","Социальная защита населения","Региональная линия Социального фонда России по Санкт-Петербургу и Ленинградской области","+7(812)6778717",""
"472","Центральный","Права потребителя","Горячая линия Роспотребнадзора","+7(800)5554943",""
